variant,variant_label,tenor,combo,combo_label,ko_barrier,ki_barrier,spot,price,delta,gamma,vega,dividend_rho
stepdown,Step-down,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,103.0,0.09492610386383576,0.2568092924979728,-0.048413436364790306,-0.18421330833356042,-0.1561724588513877
stepdown,Step-down,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,105.0,0.5228065043039434,0.17568238552134813,-0.02535905934752705,-0.13848139115514996,-0.10503590968499177
stepdown,Step-down,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,107.5,0.8710689980744226,0.10563346452649207,-0.029532206143001855,-0.09369024847206231,-0.05902557921129148
stepdown,Step-down,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,110.0,1.0661394370144803,0.055326624922672984,-0.016604897133110082,-0.0584448627783114,-0.030479833837970816
stepdown,Step-down,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,112.5,1.16660223558905,0.027946786478957836,-0.006514671099400829,-0.0324542473357603,-0.01444320163914714
stepdown,Step-down,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,115.0,1.2143186816803926,0.01222553638812542,-0.003432953019417172,-0.016203788786653073,-0.0062942173978175475
stepdown,Step-down,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,117.5,1.2352009241987592,0.005156536193137422,-0.002545811639360727,-0.007951668930017641,-0.0025136075240350664
stepdown,Step-down,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,120.0,1.2433567134283663,0.0020041395104051602,-0.0007261859290779653,-0.0034167729849785555,-0.0009360357174470479
airbag,Airbag,2,KO100_KI80,KO 100 / KI 80,100.0,80.0,60.0,-23.31884094862239,0.6015887867562479,1.1265901693742346,0.22591823076943385,-0.5032513152688267
airbag,Airbag,2,KO100_KI80,KO 100 / KI 80,100.0,80.0,62.5,-22.16871158649417,0.6511287984894523,1.1109705490328998,0.27898564404140913,-0.5704704619844847
airbag,Airbag,2,KO100_KI80,KO 100 / KI 80,100.0,80.0,65.0,-20.900883596052473,0.3632755042711284,1.062767795065694,0.24881177113128317,-0.6404465437459095
airbag,Airbag,2,KO100_KI80,KO 100 / KI 80,100.0,80.0,67.5,-19.516154469501302,0.4079929445608625,0.9870899655171206,0.2792854989968063,-0.70940394772947
airbag,Airbag,2,KO100_KI80,KO 100 / KI 80,100.0,80.0,70.0,-17.90835902844638,0.4502285314426706,-0.923581563059323,0.2509483404461541,-0.7736247221888704
airbag,Airbag,2,KO100_KI80,KO 100 / KI 80,100.0,80.0,72.5,-16.438362810185673,0.8153422862807541,0.901282949747163,0.3668903085727031,-0.8285729173117318
airbag,Airbag,2,KO100_KI80,KO 100 / KI 80,100.0,80.0,75.0,-14.77950023844427,0.5150090276146125,0.8602744267035405,0.2954109432693066,-0.8712576311449283
airbag,Airbag,2,KO100_KI80,KO 100 / KI 80,100.0,80.0,77.5,-12.953118068580475,0.8426611591208265,-0.786692938558794,0.20361440791619678,-0.8958078056446439
airbag,Airbag,2,KO100_KI80,KO 100 / KI 80,100.0,80.0,80.0,-11.347258853854637,0.715580826045239,0.1350993869190131,0.2381551614742854,-0.906826437829622
airbag,Airbag,2,KO100_KI80,KO 100 / KI 80,100.0,80.0,82.5,-9.390673751101879,0.8671649342236024,-0.6851045851548065,0.1137358243369686,-0.896795522480609
airbag,Airbag,2,KO100_KI80,KO 100 / KI 80,100.0,80.0,85.0,-7.713229971421102,0.5714007868461344,0.5952957362383617,0.13739838465954612,-0.8721894283652887
airbag,Airbag,2,KO100_KI80,KO 100 / KI 80,100.0,80.0,87.5,-5.906569926803915,0.775047633840313,-0.5625536598382376,-0.02035289269417362,-0.8128194772898389
airbag,Airbag,2,KO100_KI80,KO 100 / KI 80,100.0,80.0,90.0,-4.456294830942047,0.5308667026500627,0.2880178649023724,0.0717387879127438,-0.7443418152965009
airbag,Airbag,2,KO100_KI80,KO 100 / KI 80,100.0,80.0,92.5,-3.0401763084576685,0.5869918854302926,0.24289557282020924,0.008055216350331573,-0.6462463066473134
