scenario_id,variant,tenor,r,q,vol,ko_barrier,ki_barrier,product_protection_type,product_protection_rate,interest_protection_type,interest_protection_rate,quoted_ko_rate,product_pv,interest_pv,combined_pv,protected_snowball_pv,quote_ko_sensitivity,quote_ki_sensitivity,interest_ko_sensitivity,interest_ki_sensitivity
99,standard,1.0,0.01,0.083333,0.283333,97.5,75.0,NONE,0.0,FULL,0.0,0.381499653653362,0.30950969435974685,0.30950969435974685,0.0,99.69049030564025,,,,
100,standard,1.0,0.01,0.083333,0.283333,97.5,80.0,NONE,0.0,FULL,0.0,0.4266262990489611,0.30950969435974685,0.30950969435974685,0.0,99.69049030564025,,,,
101,standard,1.0,0.01,0.083333,0.283333,100.0,65.0,NONE,0.0,FULL,0.0,0.20942801918131398,0.3825224861844845,0.3825224861844845,0.0,99.61747751381552,,,,
102,standard,1.0,0.01,0.083333,0.283333,100.0,70.0,NONE,0.0,FULL,0.0,0.30072724054595396,0.3825224861844845,0.3825224861844845,0.0,99.61747751381552,,,,
103,standard,1.0,0.01,0.083333,0.283333,100.0,75.0,NONE,0.0,FULL,0.0,0.4082780386754393,0.3825224861844845,0.3825224861844845,0.0,99.61747751381552,,,,
104,standard,1.0,0.01,0.083333,0.283333,100.0,80.0,NONE,0.0,FULL,0.0,0.47820489316318515,0.3825224861844845,0.3825224861844845,0.0,99.61747751381552,,,,
105,standard,1.0,0.01,0.083333,0.283333,102.5,65.0,NONE,0.0,FULL,0.0,0.1996647032193857,0.45888676187492194,0.45888676187492194,0.0,99.54111323812508,,,,
106,standard,1.0,0.01,0.083333,0.283333,102.5,70.0,NONE,0.0,FULL,0.0,0.29115004890013396,0.45888676187492194,0.45888676187492194,0.0,99.54111323812508,,,,
107,standard,1.0,0.01,0.083333,0.283333,102.5,75.0,NONE,0.0,FULL,0.0,0.41422212735658137,0.45888676187492194,0.45888676187492194,0.0,99.54111323812508,,,,
108,standard,1.0,0.01,0.083333,0.283333,102.5,80.0,NONE,0.0,FULL,0.0,0.5176065322095618,0.45888676187492194,0.45888676187492194,0.0,99.54111323812508,,,,
109,standard,1.0,0.01,0.083333,0.283333,105.0,65.0,NONE,0.0,FULL,0.0,0.18564935644975186,0.5456535204718449,0.5456535204718449,0.0,99.45434647952816,,,,
110,standard,1.0,0.01,0.083333,0.283333,105.0,70.0,NONE,0.0,FULL,0.0,0.2746318218302682,0.5456535204718449,0.5456535204718449,0.0,99.45434647952816,,,,
111,standard,1.0,0.01,0.083333,0.283333,105.0,75.0,NONE,0.0,FULL,0.0,0.4035937877427585,0.5456535204718449,0.5456535204718449,0.0,99.45434647952816,,,,
112,standard,1.0,0.01,0.083333,0.283333,105.0,80.0,NONE,0.0,FULL,0.0,0.5351208824436096,0.5456535204718449,0.5456535204718449,0.0,99.45434647952816,,,,
113,standard,1.0,0.01,0.083333,0.35,97.5,65.0,NONE,0.0,FULL,0.0,0.354693859218972,0.3223698829466315,0.3223698829466315,0.0,99.67763011705337,,,,
114,standard,1.0,0.01,0.083333,0.35,97.5,70.0,NONE,0.0,FULL,0.0,0.43838960392147863,0.3223698829466315,0.3223698829466315,0.0,99.67763011705337,,,,
115,standard,1.0,0.01,0.083333,0.35,97.5,75.0,NONE,0.0,FULL,0.0,0.49386358991909624,0.3223698829466315,0.3223698829466315,0.0,99.67763011705337,,,,
116,standard,1.0,0.01,0.083333,0.35,97.5,80.0,NONE,0.0,FULL,0.0,0.5084389545306204,0.3223698829466315,0.3223698829466315,0.0,99.67763011705337,,,,
117,standard,1.0,0.01,0.083333,0.35,100.0,65.0,NONE,0.0,FULL,0.0,0.3587607835902608,0.3768436187591533,0.3768436187591533,0.0,99.62315638124085,,,,
118,standard,1.0,0.01,0.083333,0.35,100.0,70.0,NONE,0.0,FULL,0.0,0.4590716525075681,0.3768436187591533,0.3768436187591533,0.0,99.62315638124085,,,,
119,standard,1.0,0.01,0.083333,0.35,100.0,75.0,NONE,0.0,FULL,0.0,0.5378502207816617,0.3768436187591533,0.3768436187591533,0.0,99.62315638124085,,,,
